,Encounter #,Location,Date,Weapon,Wielder,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Notes 1,Notes 2,Notes 3,Citation,Text,Continent
242,108,Sudan,1889.0,Saber,Lancer,Thrust,unspecified,Death,,Horse,,,,BSF 425,"“Lieutenant Wormald, of the 7th Hussars, engaged an Emir singlehanded and nearly came to grief. Delivering a terrific blow at the mail-clad warrior, the Lieutenant’s sword, striking against the chain armour, bent double, as though it were lead. But before the Emir could get his own sword home, Wormald hit him across the head with the bent sword and stunned him; and a Lancer, opportunely coming along, finished the chieftain.” (“The Battle of Omdurman,” Taranaki Herald, Oct. 18, 1898.)",Africa
243,109,British India,,Saber,Bonair,Cut,Arm,Ineffective,Ineffective,Foot,,,,BSF 426,"“The Bonair’s tulwar was of superb steel, a splendid weapon. It shattered [Lieutenant] Browne’s sword at the hilt; but with that hilt, Browne felled his foe to the ground, receiving, however, a slash on the arm at the same time. A struggle ensued. Browne, hammering the enemy, mastered him in spite of his wound, and seizing the tulwar, slew him with it, and ever held it as the choicest in his collection of trophies.” (Gen. J. J. McLeod Innes, Life and Times of General Sir James Browne, 1905.)",Asia
244,109,British India,,Saber,Lt. Browne,Strike,Head,Incapacitation,Incapacitation,Foot,Pommel strike,,,BSF 426,"“The Bonair’s tulwar was of superb steel, a splendid weapon. It shattered [Lieutenant] Browne’s sword at the hilt; but with that hilt, Browne felled his foe to the ground, receiving, however, a slash on the arm at the same time. A struggle ensued. Browne, hammering the enemy, mastered him in spite of his wound, and seizing the tulwar, slew him with it, and ever held it as the choicest in his collection of trophies.” (Gen. J. J. McLeod Innes, Life and Times of General Sir James Browne, 1905.)",Asia
245,109,British India,,Saber,Lt. Browne,unspecified,unspecified,Death,,Foot,,,,BSF 426,"“The Bonair’s tulwar was of superb steel, a splendid weapon. It shattered [Lieutenant] Browne’s sword at the hilt; but with that hilt, Browne felled his foe to the ground, receiving, however, a slash on the arm at the same time. A struggle ensued. Browne, hammering the enemy, mastered him in spite of his wound, and seizing the tulwar, slew him with it, and ever held it as the choicest in his collection of trophies.” (Gen. J. J. McLeod Innes, Life and Times of General Sir James Browne, 1905.)",Asia
246,110,British India,,Saber,Lt. Browne,Strike,Head,Death,,Foot,Pommel strike,,,BSF 426,"And in yet another account, Browne contended with three opponents. “After disabling two of them, in fighting with the third his sword broke off short at the hilt; but with one blow in the forehead, with his fist holding the broken hilt, he stretched his assailant dead at his feet.” (Richard Isaac Bruce, The Forward Policy, 1900.)",Asia
247,111,Sudan,1880.0,Saber,Sudanese swordsman,Cut,Head,Ineffective,Ineffective,Foot,Armor effectiveness,,,BSF 427,"“One fellow made a dig with his spear at the soldier on my left. He failed to reach him, and left his whole side exposed, so that I had a cool prod at him. He seemed to be beastly hard, and my sword broke against his ribs, so I hacked at him in a futile kind of way with the stump of my sword; and while I was doing so, a second Arab came up and hit me over the head with a sword. My pith helmet took the greater part of the blow; so it only just cut the scalp, and I hardly felt it. Both Arabs were shot and bayoneted almost instantly.” (Adm. Sir Edward E. Bradford, Life of Admiral of the Fleet Sir Arthur Knyvet Wilson, 1923.)",Africa
248,111,Sudan,1880.0,Saber,Cpt. Wilson,Thrust,Torso,Ineffective,Ineffective,Foot,Sword break,,,BSF 427,"“One fellow made a dig with his spear at the soldier on my left. He failed to reach him, and left his whole side exposed, so that I had a cool prod at him. He seemed to be beastly hard, and my sword broke against his ribs, so I hacked at him in a futile kind of way with the stump of my sword; and while I was doing so, a second Arab came up and hit me over the head with a sword. My pith helmet took the greater part of the blow; so it only just cut the scalp, and I hardly felt it. Both Arabs were shot and bayoneted almost instantly.” (Adm. Sir Edward E. Bradford, Life of Admiral of the Fleet Sir Arthur Knyvet Wilson, 1923.)",Africa
249,111,Sudan,1880.0,Saber,Cpt. Wilson,Strike,Various,Ineffective,Ineffective,Foot,Pommel strike,,,BSF 427,"“One fellow made a dig with his spear at the soldier on my left. He failed to reach him, and left his whole side exposed, so that I had a cool prod at him. He seemed to be beastly hard, and my sword broke against his ribs, so I hacked at him in a futile kind of way with the stump of my sword; and while I was doing so, a second Arab came up and hit me over the head with a sword. My pith helmet took the greater part of the blow; so it only just cut the scalp, and I hardly felt it. Both Arabs were shot and bayoneted almost instantly.” (Adm. Sir Edward E. Bradford, Life of Admiral of the Fleet Sir Arthur Knyvet Wilson, 1923.)",Africa
250,112,Islandhlwana,1879.0,Polearm,Zulu warrior,Thrust,Torso,Incapacitation,Incapacitation,Foot,,,,BSF 432,"“Shortly after the disaster [at Isandhlwana in 1879], one of the survivors told of a duel which he witnessed between a Zulu and an officer of the 24th Regiment. The officer, having emptied his revolver, drew his sword. The Zulu came at him with his shield up, turning and springing from side to side as he advanced. Presently he lowered the shield, exposing his head; and the white man, falling into the trap, aimed a fierce blow at it. As it fell, the shield was raised again; and the sword sank deep into its edge, remaining fixed in the tough ox hide. This was what the Zulu desired. With a twist of his strong arm, he wrenched the sword from his opponent’s hand; and in another instant, the unfortunate officer was down with an assegai [spear] through his breast.” (H. Rider Haggard, “The Tale of Isandhlwana,” The True Story Book, 1900.)",Africa
251,113,Islandhlwana,1879.0,Polearm,British cavalry,Thrust,Torso,Incapacitation,Incapacitation,Foot vs Horse,Armor failure,,,BSF 432,"“There was one [Zulu] warrior who set his back to a thorn bush and defied his foes. ‘Leave him to me,’ said a sergeant of the Mounted Infantry. At it they went—sword, mounted, against assegai and shield, dismounted. Cutting was tried at first, but it was turned by the shield invariably. At last, a point went through shield and man.” (Maj. Gen. W. C. F. Molyneux, Campaigning in South Africa, 1896.)",Africa
252,114,South Africa,1881.0,Saber,Cpt. Beresford,Thrust,Torso,Death,,Foot vs Horse,Armor failure,,,BSF 432,"Capt. Lord William (“Fighting Bill”) Beresford reputedly “proved the superiority of the sword over the assegai”—an African javelin or short, light spear with a long blade—when he “cut down” a chief, “right through shield and all”. (Lt. & Adjt. W. H. Tomasson, With the Irregulars in the Transvaal and Zululand, 1881.) “He had been heading straight for the Zulu, as if he meant to ride him down. The [Zulu’s] spear flashed out; the sabre, carried at ‘point one’, clashed with it; the spear head was struck aside; the horseman delivered ‘point one’ with all the vigour of his arm and the impetus of his galloping horse; and in the twinkling of an eye, the sabre’s point was through the shield, and half its length buried in the Zulu’s broad chest. The brave induna [chief] was a dead man before he dropped, the sword drawing out of his heart as he fell backward.” (Archibald Forbes, “Bill Beresford and His Victoria Cross,” The English Illustrated Magazine, 1889.)",Africa
253,115,South Africa,1881.0,Saber,Cpt. Beresford,Cut,unspecified,Incapacitation,Incapacitation,Foot vs Horse,,,,BSF 433,"Earlier, however, Beresford “had literally cut his way through about fifty Zulus who had tried to surround him”; and seeing “a dismounted and wounded trooper about to be assegaied by half a dozen Zulus”, he charged them, knocking three over with his horse’s shoulder “and placing the other three hors de combat with a front- and back-hander of his long, heavy sabre.” (Maj. W. Ashe & Capt. the Hon. E. V. Wyatt Edgell, The Story of the Zulu Campaign, 1880.)",Africa
254,115,South Africa,1881.0,Saber,Cpt. Beresford,Cut,unspecified,Incapacitation,Incapacitation,Foot vs Horse,,,,BSF 433,"Earlier, however, Beresford “had literally cut his way through about fifty Zulus who had tried to surround him”; and seeing “a dismounted and wounded trooper about to be assegaied by half a dozen Zulus”, he charged them, knocking three over with his horse’s shoulder “and placing the other three hors de combat with a front- and back-hander of his long, heavy sabre.” (Maj. W. Ashe & Capt. the Hon. E. V. Wyatt Edgell, The Story of the Zulu Campaign, 1880.)",Africa
